ABBR,STATE,wage,job
AL,Alabama,96697,System Engineer:
AK,Alaska,0,
AZ,Arizona,135227,C++ Developer
AR,Arkansas,94230,System Engineer
CA,California,138558,C++ Developer
CO,Colorado,141479,C++ Developer
CT,Connecticut,180513,C++ Developer
DE,Delaware,102780,Software Engineer
DC,District of Columbia,112540,Software Engineer
FL,Florida,109733,Java Developer
GA,Georgia,115373,C++ Developer
HI,Hawaii,"91,643",System Engineer
ID,Idaho,89003,Java Developer
IL,Illinois,122899,C++ Developer
IN,Indiana,102901,C++ Developer
IA,Iowa,106429,C++ Developer
KS,Kansas,101544,C++ Developer
KY,Kentucky,100743,C++ Developer
LA,Louisiana,88692,Web Developer
ME,Maine,107823,Java Developer
MD,Maryland,117109,System Engineer
MA,Massachusetts,130486,Software Test Engineer
MI,Michigan,100610,C++ Developer
MN,Minnesota,101572,Java Developer
MS,Mississippi,76774,Java Developer
MO,Missouri,97943,Application Developer
MT,Montana,97986,Java Developer
NE,Nebraska,96783,Java Developer
NV,Nevada,105459,Software Engineer
NH,New Hampshire,129852,System Engineer
NJ,New Jersey,102706,Software Engineer
NM,New Mexico,96390,Java Developer
NY,New York,132161,C++ Developer
NC,North Carolina,104500,C++ Developer
ND,North Dakota,78823,Software Engineer
OH,Ohio,103257,Systems Analyst
OK,Oklahoma,120154,Java Developer
OR,Oregon,103674,Software Engineer
PA,Pennsylvania,121899,C++ Developer
RI,Rhode Island,97482,Front End Developer
SC,South Carolina,96180,Software Test Engineer
SD,South Dakota,94528,System Engineer
TN,Tennessee,88456,Java Developer
TX,Texas,116013,C++ Developer
UT,Utah,0,
VT,Vermont,0,
VA,Virginia,0,
WA,Washington,0,
WV,West Virginia,0,
WI,Wisconsin,0,
WY,Wyoming,0,
GU,Guam,0,
PR,Puerto Rico,0,
VI,Virgin Islands,0,
